ID,Created,Name,Description,Playlist URL
3dd6ae1ed1dc422db30622ab26a2577a,2026-02-10T09:18:58Z,One Word Title,Songs with a single-word title,https://open.spotify.com/playlist/5dvVtlg9Xjv14XviiV7GTj
38bf0dbff1de440a91e7f71107484fa5,2026-02-10T09:18:58Z,Crank It Up!,Songs that you have to listen to loudly,https://open.spotify.com/playlist/5YwR3fwzb6eDW9HemNuy4V
f1fb477b31ff4d28a1ae5d5303403d7e,2026-02-10T09:18:58Z,Stranded,Songs you would take with you to a desert island.,https://open.spotify.com/playlist/2z8xpmqWlKcOOQKPVv04a1
be0b684afaaa4715ae37c3ee6c3f1b66,2026-02-10T09:18:58Z,I Knew Them First,"Songs with less than 100,000 spotify plays",https://open.spotify.com/playlist/0ruKPzIWM1iSpOMcjdq0j9
bf77391c1b66485097526fbd8d436e29,2026-02-10T11:16:18Z,The Source!,"Songs that a RF jingle is based on.

Solsbury Hill is banned.",https://open.spotify.com/playlist/176AegtcLjOORd4jzjVmVf
31694cd3b9144ad48e69424f8a35a395,2026-02-10T09:18:58Z,"No, But Seriously",Songs that are often mocked but you insist are legitimately good,https://open.spotify.com/playlist/0m2kiCfRWUOwbi4kGxMfOC
82db083eaa2e49678d4764f60412c66d,2026-02-10T09:18:58Z,"I'm Sorry, Officer",Songs that make you drive fast,https://open.spotify.com/playlist/5otP7EqoFsKh4gUnME7uVQ
ff554c23c8ce4ea09142caf4f0939e40,2026-02-10T11:18:16Z,It's false. No way. Not this time. We created it.,Songs by fictional bands.,https://open.spotify.com/playlist/6KCGx1udcHCVLPkJlN69QP
9ef653ffdece474faf5710459a529136,2026-02-10T11:30:11Z,Manifesting,Songs that a jingle _should_ be based on.,https://open.spotify.com/playlist/09DAl4bhOg3CePuEEz9Hpp
5343fe0a4d5a48048209971760b30955,2026-02-10T11:36:39Z,Usurpers,Covers that are better than the original.,https://open.spotify.com/playlist/0U5AJNGzUDmNKTJBDsNoGT
d2853a4d4e5f4fd58243298ce93fb194,2026-02-10T11:42:15Z,The Core Four,"Songs that contain either bees, horses, eggs or crabs (or all four!)
",https://open.spotify.com/playlist/5TbszHstfnLfVKF0Qc6xfB
